cauer_7_ordem_1_8_90 De-Embedded
Frequency GHz, DB[S21]
1.32,-39.9375
1.33,-40.6338
1.34,-41.327
1.35,-42.0174
1.36,-42.7052
1.37,-43.3908
1.38,-44.0745
1.39,-44.7567
1.4,-45.4375
1.41,-46.1174
1.42,-46.7967
1.43,-47.4757
1.44,-48.1547
1.45,-48.8341
1.46,-49.5144
1.47,-50.1958
1.48,-50.8787
1.49,-51.5636
1.5,-52.2509
1.51,-52.941
1.52,-53.6345
1.53,-54.3318
1.54,-55.0335
1.55,-55.7402
1.56,-56.4524
1.57,-57.1709
1.58,-57.8963
1.59,-58.6295
1.6,-59.3713
1.61,-60.1226
1.62,-60.8845
1.63,-61.658
1.64,-62.4445
1.65,-63.2454
1.66,-64.0622
1.67,-64.8968
1.68,-65.7511
1.69,-66.6275
1.7,-67.5288
1.71,-68.458
1.72,-69.4188
1.73,-70.4156
1.74,-71.4537
1.75,-72.5393
1.76,-73.6804
1.77,-74.8866
1.78,-76.1701
1.79,-77.5467
1.8,-79.0369
1.81,-80.6677
1.82,-82.4703
1.83,-84.4939
1.84,-86.7871
1.85,-89.3565
1.86,-91.9629
1.87,-93.6294
1.88,-93.2401
1.89,-91.586
1.9,-89.8309
1.91,-88.335
1.92,-87.1203
1.93,-86.1418
1.94,-85.3531
1.95,-84.7173
1.96,-84.2065
1.97,-83.8001
1.98,-83.4826
1.99,-83.2422
2,-83.07
2.01,-82.9594
2.02,-82.9052
2.03,-82.9037
2.04,-82.9524
2.05,-83.0495
2.06,-83.1944
2.07,-83.3872
2.08,-83.6287
2.09,-83.9208
2.1,-84.2663
2.11,-84.6691
2.12,-85.1344
2.13,-85.6692
2.14,-86.2766
2.15,-86.9724
2.16,-87.7708
2.17,-88.6904
2.18,-89.7548
2.19,-90.9917
2.2,-92.427
2.21,-94.0594
2.22,-95.7702
2.23,-97.1049
2.24,-97.2377
2.25,-95.9585
2.26,-94.032
2.27,-92.0769
2.28,-90.297
2.29,-88.7181
2.3,-87.3182
2.31,-86.0684
2.32,-84.9427
2.33,-83.9201
2.34,-82.984
2.35,-82.1213
2.36,-81.3214
2.37,-80.576
2.38,-79.8781
2.39,-79.2223
2.4,-78.6039
2.41,-78.0191
2.42,-77.4646
2.43,-76.9377
2.44,-76.4362
2.45,-75.958
2.46,-75.5016
2.47,-75.0655
2.48,-74.6486
2.49,-74.2498
2.5,-73.8684
2.51,-73.5038
2.52,-73.1554
2.53,-72.823
2.54,-72.5064
2.55,-72.2055
2.56,-71.9205
2.57,-71.6517
2.58,-71.3996
2.59,-71.1648
2.6,-70.9485
2.61,-70.7517
2.62,-70.5761
2.63,-70.4235
2.64,-70.2964
2.65,-70.1977
2.66,-70.1312
2.67,-70.1014
2.68,-70.1137
2.69,-70.1751
2.7,-70.2936
2.71,-70.4788
2.72,-70.7411
2.73,-71.0896
2.74,-71.5264
2.75,-72.0303
2.76,-72.5203
2.77,-72.7889
2.78,-72.4745
2.79,-71.1935
2.8,-69.1192
2.81,-66.6331
2.82,-64.0199
2.83,-61.4014
2.84,-58.8059
2.85,-56.2226
2.86,-53.6272
2.87,-50.9962
2.88,-48.3219
2.89,-45.6439
2.9,-43.1153
2.91,-41.0754
2.92,-39.9199
2.93,-39.6769
2.94,-39.9613
2.95,-40.3978
2.96,-40.7975
2.97,-41.0951
2.98,-41.2779
2.99,-41.3515
3,-41.3259

